order,target_feature,ground_truth,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit,n,protocol,loss,calibrated,context_feature
2.0,X10,,"('X8',)",exp7_xor3_records.csv,0.001908691498355692,0.022480749665437564,0.0016603879333453335,-0.0008745277804527521,0.004909076140121964,5,5,0,25,repeat_mean,,,,,
2.0,X10,,"('X9',)",exp7_xor3_records.csv,-0.001958187908597752,0.014067828849277026,0.004287251285269013,-0.010305093723117293,0.0038128079716424554,5,5,0,25,repeat_mean,,,,,
2.0,X2,,"('X1',)",exp7_xor3_records.csv,-0.002293976258661896,0.01702801924508927,0.0024941808292589076,-0.006433496374590517,0.002373573465958004,5,5,0,25,repeat_mean,,,,,
2.0,X2,,"('X10',)",exp7_xor3_records.csv,0.00214518066713104,0.017697724402787357,0.0027960593585982505,-0.002012825719880208,0.007191979194950866,5,5,0,25,repeat_mean,,,,,
2.0,X2,,"('X3',)",exp7_xor3_records.csv,-0.006798371948637631,0.016375030874663094,0.0010332225216800862,-0.008482123794342118,-0.0049901555408487395,5,5,0,25,repeat_mean,,,,,
2.0,X2,,"('X4',)",exp7_xor3_records.csv,0.006953412933526839,0.01619869186727451,0.0027742951613963,0.0023150366430883676,0.01207631039404516,5,5,0,25,repeat_mean,,,,,
2.0,X2,,"('X5',)",exp7_xor3_records.csv,-0.003999598730446168,0.012957869703667831,0.0012731542166799445,-0.006581447315552315,-0.0023171066241372516,5,5,0,25,repeat_mean,,,,,
2.0,X2,,"('X6',)",exp7_xor3_records.csv,-0.0022693332237464243,0.016822741959493237,0.00421718798365083,-0.00977748514586384,0.004946183645745381,5,5,0,25,repeat_mean,,,,,
2.0,X2,,"('X7',)",exp7_xor3_records.csv,0.003000590687698188,0.01820305741870259,0.005422548312678632,-0.006673579697809601,0.012674761073205976,5,5,0,25,repeat_mean,,,,,
2.0,X2,,"('X8',)",exp7_xor3_records.csv,-0.006411087723130481,0.016544960203107785,0.005222725700179049,-0.0166501381827481,0.0006734387827196768,5,5,0,25,repeat_mean,,,,,
2.0,X2,,"('X9',)",exp7_xor3_records.csv,0.005165644226677645,0.015293489189916196,0.0038814940518845523,-0.0013171624666075802,0.011978759170303775,5,5,0,25,repeat_mean,,,,,
2.0,X3,,"('X1',)",exp7_xor3_records.csv,0.0023679331302592717,0.015727297206599156,0.0031200187220035845,-0.0022605105771331124,0.00816751220845928,5,5,0,25,repeat_mean,,,,,
2.0,X3,,"('X10',)",exp7_xor3_records.csv,-0.0016332866987137367,0.014010015722374316,0.0037385313984842636,-0.007846013344109068,0.004977840226205424,5,5,0,25,repeat_mean,,,,,
2.0,X3,,"('X2',)",exp7_xor3_records.csv,-0.00381560774122918,0.023346261378917106,0.002905870236753133,-0.00865990918380878,0.001195368539603148,5,5,0,25,repeat_mean,,,,,
2.0,X3,,"('X4',)",exp7_xor3_records.csv,0.0016253994254595958,0.01594974105894093,0.0035813667010798633,-0.004846040050367828,0.008279388550012316,5,5,0,25,repeat_mean,,,,,
2.0,X3,,"('X5',)",exp7_xor3_records.csv,-0.0026784238098878045,0.020440441886253047,0.003660535438994386,-0.008509712776510076,0.003596727266548636,5,5,0,25,repeat_mean,,,,,
2.0,X3,,"('X6',)",exp7_xor3_records.csv,0.008203093878432063,0.02356554447020755,0.0021747509129885147,0.004343843073707681,0.012062344683156447,5,5,0,25,repeat_mean,,,,,
2.0,X3,,"('X7',)",exp7_xor3_records.csv,-0.0020136570209480596,0.01357358420209286,0.0035083563517380517,-0.007041030811367204,0.005122101324303045,5,5,0,25,repeat_mean,,,,,
2.0,X3,,"('X8',)",exp7_xor3_records.csv,-0.002147169770640376,0.019927503033487576,0.00399480909272291,-0.009525123025501653,0.00445678830499312,5,5,0,25,repeat_mean,,,,,
2.0,X3,,"('X9',)",exp7_xor3_records.csv,-0.0023970728686772192,0.014827680228340438,0.004084804088999978,-0.009438533255455753,0.0046443875181013125,5,5,0,25,repeat_mean,,,,,
2.0,X4,,"('X1',)",exp7_xor3_records.csv,-0.004527302168506688,0.0183671505870006,0.005296773085494087,-0.013483606109396801,0.004420900748396896,5,5,0,25,repeat_mean,,,,,
2.0,X4,,"('X10',)",exp7_xor3_records.csv,-0.0020839571142381597,0.019015313826798563,0.002596528852087082,-0.006542710810028193,0.002374796581551872,5,5,0,25,repeat_mean,,,,,
2.0,X4,,"('X2',)",exp7_xor3_records.csv,0.009032909853720461,0.016691486400383804,0.004834336034915772,0.002139499331030604,0.01827191637796153,5,5,0,25,repeat_mean,,,,,
2.0,X4,,"('X3',)",exp7_xor3_records.csv,-5.901607692427244e-05,0.01607760780590072,0.003862577179131017,-0.0063911221518643795,0.007283140465456596,5,5,0,25,repeat_mean,,,,,
2.0,X4,,"('X5',)",exp7_xor3_records.csv,-0.0040736455076413524,0.017804455012491456,0.0021067316659641924,-0.0075891255449356525,-0.0005226644446102083,5,5,0,25,repeat_mean,,,,,
2.0,X4,,"('X6',)",exp7_xor3_records.csv,-0.0020260771089984637,0.011817669291580837,0.0023015942698977206,-0.006445466032049335,0.0011685132090494452,5,5,0,25,repeat_mean,,,,,
2.0,X4,,"('X7',)",exp7_xor3_records.csv,-0.0008799503166524246,0.013730618742344849,0.0029557789745992347,-0.005734811322866972,0.0042778671723753565,5,5,0,25,repeat_mean,,,,,
2.0,X4,,"('X8',)",exp7_xor3_records.csv,-0.00475069605234558,0.015011214295795798,0.0030646920970809704,-0.010214994156906583,0.00036248108549553974,5,5,0,25,repeat_mean,,,,,
2.0,X4,,"('X9',)",exp7_xor3_records.csv,0.00188732575032302,0.017954366952083026,0.0025757935512819947,-0.0025217290743238,0.006298272141478022,5,5,0,25,repeat_mean,,,,,
2.0,X5,,"('X1',)",exp7_xor3_records.csv,-0.001146260914557176,0.01544347785160912,0.0032672518558146094,-0.0068099755681092,0.005008231259261288,5,5,0,25,repeat_mean,,,,,
2.0,X5,,"('X10',)",exp7_xor3_records.csv,0.0005178201873813399,0.015013460200973985,0.004033335849497517,-0.006938779958211589,0.0075712191982071795,5,5,0,25,repeat_mean,,,,,
2.0,X5,,"('X2',)",exp7_xor3_records.csv,0.0018982809358141365,0.017939990804321185,0.0019738626180519953,-0.0018635091571548076,0.005250522807891955,5,5,0,25,repeat_mean,,,,,
2.0,X5,,"('X3',)",exp7_xor3_records.csv,-0.006720525403562872,0.01700867422441304,0.0029535470444908315,-0.010646955258689764,-0.0009929284428164043,5,5,0,25,repeat_mean,,,,,
2.0,X5,,"('X4',)",exp7_xor3_records.csv,-0.00042298272813422405,0.015772905605535115,0.0024639684722655526,-0.004570469642805908,0.003934660929761975,5,5,0,25,repeat_mean,,,,,
2.0,X5,,"('X6',)",exp7_xor3_records.csv,0.006337517825689733,0.016780238754016144,0.0021854541862561905,0.0028247253400130127,0.010471033282315332,5,5,0,25,repeat_mean,,,,,
2.0,X5,,"('X7',)",exp7_xor3_records.csv,-0.0043671693218258235,0.017599594511170474,0.002752920463741018,-0.008959661042163855,0.000225322398512208,5,5,0,25,repeat_mean,,,,,
2.0,X5,,"('X8',)",exp7_xor3_records.csv,-0.007335486813345687,0.014394187529416024,0.00279235249222679,-0.012257526308788555,-0.0023893335834525987,5,5,0,25,repeat_mean,,,,,
2.0,X5,,"('X9',)",exp7_xor3_records.csv,0.01150859346821544,0.018014364314559692,0.003122965565385179,0.0060611620264720166,0.016956024909958865,5,5,0,25,repeat_mean,,,,,
2.0,X6,,"('X1',)",exp7_xor3_records.csv,0.0008459040582523441,0.01888673076008871,0.0033802644150995012,-0.004969681342574664,0.006757108440669725,5,5,0,25,repeat_mean,,,,,
2.0,X6,,"('X10',)",exp7_xor3_records.csv,0.001105090765066996,0.01652163769187938,0.003087778452592257,-0.004168035693977027,0.006440363157877252,5,5,0,25,repeat_mean,,,,,
2.0,X6,,"('X2',)",exp7_xor3_records.csv,-0.0034379303581372916,0.01588357804261894,0.002976700018216067,-0.008431349713071804,0.002308189811174536,5,5,0,25,repeat_mean,,,,,
2.0,X6,,"('X3',)",exp7_xor3_records.csv,0.003261562620143888,0.015076303766139944,0.003739113341353405,-0.0042773962448252895,0.007204474884756236,5,5,0,25,repeat_mean,,,,,
