order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta,seed
1,(),0,0,X1,(),2,3,0.028329004010843983,43
1,(),0,0,X1,(),2,4,0.03393727267237295,43
1,(),0,0,X1,(),3,0,0.028041082983805476,43
1,(),0,0,X1,(),3,1,0.036655087439568856,43
1,(),0,0,X1,(),3,2,0.023692090071295968,43
1,(),0,0,X1,(),3,3,0.03510231046707757,43
1,(),0,0,X1,(),3,4,0.026064040455983817,43
1,(),0,0,X1,(),4,0,0.026411287728930588,43
1,(),0,0,X1,(),4,1,0.03734650000563472,43
1,(),0,0,X1,(),4,2,0.02469229286443425,43
1,(),0,0,X1,(),4,3,0.028409099481881472,43
1,(),0,0,X1,(),4,4,0.03304163922228648,43
1,(),1,0,X2,(),0,0,0.03125441121547501,43
1,(),1,0,X2,(),0,1,0.038325170908956374,43
1,(),1,0,X2,(),0,2,0.03193492910129636,43
1,(),1,0,X2,(),0,3,0.026363825321156997,43
1,(),1,0,X2,(),0,4,0.03960319624976516,43
1,(),1,0,X2,(),1,0,0.03717308748532189,43
1,(),1,0,X2,(),1,1,0.033830519673579085,43
1,(),1,0,X2,(),1,2,0.041348157888563775,43
1,(),1,0,X2,(),1,3,0.03706962469360092,43
1,(),1,0,X2,(),1,4,0.020984452469524684,43
1,(),1,0,X2,(),2,0,0.03930684900254483,43
1,(),1,0,X2,(),2,1,0.026657119182922018,43
1,(),1,0,X2,(),2,2,0.03920259167271517,43
1,(),1,0,X2,(),2,3,0.03384465657226293,43
1,(),1,0,X2,(),2,4,0.03319937595757749,43
1,(),1,0,X2,(),3,0,0.034627520816588486,43
1,(),1,0,X2,(),3,1,0.03858305082526531,43
1,(),1,0,X2,(),3,2,0.024001205055176555,43
1,(),1,0,X2,(),3,3,0.04412727907214914,43
1,(),1,0,X2,(),3,4,0.027808428510527172,43
1,(),1,0,X2,(),4,0,0.022216639972283292,43
1,(),1,0,X2,(),4,1,0.03418096969888995,43
1,(),1,0,X2,(),4,2,0.03531838614084698,43
1,(),1,0,X2,(),4,3,0.03209837787787989,43
1,(),1,0,X2,(),4,4,0.035173269071741564,43
1,(),2,0,X3,(),0,0,0.054264180966590636,43
1,(),2,0,X3,(),0,1,0.07672166975084249,43
1,(),2,0,X3,(),0,2,0.049294395581844785,43
1,(),2,0,X3,(),0,3,0.06370845586708995,43
1,(),2,0,X3,(),0,4,0.07118186869980447,43
1,(),2,0,X3,(),1,0,0.05603693610173266,43
1,(),2,0,X3,(),1,1,0.05519144730156622,43
1,(),2,0,X3,(),1,2,0.06368336955601372,43
1,(),2,0,X3,(),1,3,0.05388303122467453,43
1,(),2,0,X3,(),1,4,0.06325137373813894,43
1,(),2,0,X3,(),2,0,0.051631096451345504,43
