experiment,claim,seed_ix,seed,n,order,estimator,loss,target_feature,context_features,repeat,fold,delta,protocol,calibrated,context_feature
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",0,2,-0.010405384666797857,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",0,3,-0.0008602331148067632,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",0,4,-0.008735877603623932,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",1,0,-0.05850829493982557,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",1,1,0.028055077967041098,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",1,2,-0.006043702891294744,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",1,3,0.0026028828489834677,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",1,4,0.012750378127605377,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",2,0,-0.011443236566717307,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",2,1,0.004332811907045486,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",2,2,-0.013608533380095156,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",2,3,0.012720301727953354,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",2,4,-0.0223013237763926,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",3,0,-0.04855643029170187,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",3,1,-0.027413520253963597,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",3,2,-0.006945376999591524,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",3,3,-0.001725704548160234,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",3,4,0.02249191609469814,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",4,0,-0.01103043176994789,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",4,1,-0.010304348353892934,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",4,2,0.0060734394859788265,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",4,3,-0.025795617485218858,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X2',)",4,4,0.03215023541150841,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",0,0,0.5841612361880202,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",0,1,0.5830329661711616,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",0,2,0.5505114133422095,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",0,3,0.6254678395836542,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",0,4,0.5607308805527791,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",1,0,0.6461470993107863,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",1,1,0.6189183807835541,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",1,2,0.5678778559175515,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",1,3,0.5619704830572227,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",1,4,0.5745949060890666,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",2,0,0.6086508733344873,,,
xor3,xor3_order3_signal,0,42,4096,3,dt,rmse,X3,"('X1', 'X2')",2,1,0.5892569107853678,,,
