order,context_indices,target_idx,context_size,target_feature,ground_truth,context_features,repeat,fold,delta
2,"(1,)",0,1,a1,informative,"('a2',)",1,1,0.14503004854225193
2,"(1,)",0,1,a1,informative,"('a2',)",1,2,0.12774601723982904
2,"(1,)",0,1,a1,informative,"('a2',)",1,3,0.14695906430417455
2,"(1,)",0,1,a1,informative,"('a2',)",1,4,0.15465335455460327
2,"(1,)",0,1,a1,informative,"('a2',)",2,0,0.13273620305215983
2,"(1,)",0,1,a1,informative,"('a2',)",2,1,0.14736188339068856
2,"(1,)",0,1,a1,informative,"('a2',)",2,2,0.12876802178788838
2,"(1,)",0,1,a1,informative,"('a2',)",2,3,0.06401612428883852
2,"(1,)",0,1,a1,informative,"('a2',)",2,4,0.13823156693307576
2,"(1,)",0,1,a1,informative,"('a2',)",3,0,0.17153066491343838
2,"(1,)",0,1,a1,informative,"('a2',)",3,1,0.1220934452510708
2,"(1,)",0,1,a1,informative,"('a2',)",3,2,0.12257054758932534
2,"(1,)",0,1,a1,informative,"('a2',)",3,3,0.1743688502368152
2,"(1,)",0,1,a1,informative,"('a2',)",3,4,0.11799797318632549
2,"(1,)",0,1,a1,informative,"('a2',)",4,0,0.12879437787791898
2,"(1,)",0,1,a1,informative,"('a2',)",4,1,0.06246256758331353
2,"(1,)",0,1,a1,informative,"('a2',)",4,2,0.18979662310804601
2,"(1,)",0,1,a1,informative,"('a2',)",4,3,0.1421146416914063
2,"(1,)",0,1,a1,informative,"('a2',)",4,4,0.1486435275617573
2,"(2,)",0,1,a1,informative,"('a3',)",0,0,-0.008981865085479934
2,"(2,)",0,1,a1,informative,"('a3',)",0,1,-0.012949236427275745
2,"(2,)",0,1,a1,informative,"('a3',)",0,2,-5.637278778125587e-05
2,"(2,)",0,1,a1,informative,"('a3',)",0,3,-0.002328657887094354
2,"(2,)",0,1,a1,informative,"('a3',)",0,4,0.012186062326819624
2,"(2,)",0,1,a1,informative,"('a3',)",1,0,0.0012308697653323764
2,"(2,)",0,1,a1,informative,"('a3',)",1,1,-0.003893876396713125
2,"(2,)",0,1,a1,informative,"('a3',)",1,2,0.0019179758583379725
2,"(2,)",0,1,a1,informative,"('a3',)",1,3,-0.00046683062233321415
2,"(2,)",0,1,a1,informative,"('a3',)",1,4,-0.0030171656652463463
2,"(2,)",0,1,a1,informative,"('a3',)",2,0,-0.0070383400154102604
2,"(2,)",0,1,a1,informative,"('a3',)",2,1,0.007236087207058262
2,"(2,)",0,1,a1,informative,"('a3',)",2,2,-0.0021589052725445868
2,"(2,)",0,1,a1,informative,"('a3',)",2,3,-0.0011187222360070637
2,"(2,)",0,1,a1,informative,"('a3',)",2,4,-0.0011843191565629185
2,"(2,)",0,1,a1,informative,"('a3',)",3,0,-0.005017790015175105
2,"(2,)",0,1,a1,informative,"('a3',)",3,1,-0.010772450561996494
2,"(2,)",0,1,a1,informative,"('a3',)",3,2,-0.007404494566325859
2,"(2,)",0,1,a1,informative,"('a3',)",3,3,-0.00798472507868464
2,"(2,)",0,1,a1,informative,"('a3',)",3,4,0.007811791262067769
2,"(2,)",0,1,a1,informative,"('a3',)",4,0,0.0067344711143991765
2,"(2,)",0,1,a1,informative,"('a3',)",4,1,-0.004801963876490567
2,"(2,)",0,1,a1,informative,"('a3',)",4,2,-0.011295089998634322
2,"(2,)",0,1,a1,informative,"('a3',)",4,3,0.012695384998538062
2,"(2,)",0,1,a1,informative,"('a3',)",4,4,-0.009420882554591059
2,"(3,)",0,1,a1,informative,"('a4',)",0,0,-0.0011650438497676774
2,"(3,)",0,1,a1,informative,"('a4',)",0,1,-0.030733040998118855
2,"(3,)",0,1,a1,informative,"('a4',)",0,2,-0.0010618735435279358
2,"(3,)",0,1,a1,informative,"('a4',)",0,3,-0.0012096005638251306
2,"(3,)",0,1,a1,informative,"('a4',)",0,4,-0.0012700069983676565
2,"(3,)",0,1,a1,informative,"('a4',)",1,0,-0.004336972866160194
2,"(3,)",0,1,a1,informative,"('a4',)",1,1,0.0008330680342597541
2,"(3,)",0,1,a1,informative,"('a4',)",1,2,-0.01538640669161584
2,"(3,)",0,1,a1,informative,"('a4',)",1,3,0.00035000180500643907
2,"(3,)",0,1,a1,informative,"('a4',)",1,4,-0.00299257113031004
2,"(3,)",0,1,a1,informative,"('a4',)",2,0,-0.012844242722140131
2,"(3,)",0,1,a1,informative,"('a4',)",2,1,0.0035042445517166065
2,"(3,)",0,1,a1,informative,"('a4',)",2,2,-0.00399194064879449
2,"(3,)",0,1,a1,informative,"('a4',)",2,3,-0.005096852557689546
2,"(3,)",0,1,a1,informative,"('a4',)",2,4,-0.0006640420442838302
2,"(3,)",0,1,a1,informative,"('a4',)",3,0,-0.02010729746272044
2,"(3,)",0,1,a1,informative,"('a4',)",3,1,-0.017137995702165065
2,"(3,)",0,1,a1,informative,"('a4',)",3,2,-0.013235627565164054
2,"(3,)",0,1,a1,informative,"('a4',)",3,3,-0.01002837262338463
2,"(3,)",0,1,a1,informative,"('a4',)",3,4,0.0023601938737042305
2,"(3,)",0,1,a1,informative,"('a4',)",4,0,-0.005384650258025592
2,"(3,)",0,1,a1,informative,"('a4',)",4,1,0.015175822054632304
2,"(3,)",0,1,a1,informative,"('a4',)",4,2,-0.012549671727288936
2,"(3,)",0,1,a1,informative,"('a4',)",4,3,-0.0007354133319114053
2,"(3,)",0,1,a1,informative,"('a4',)",4,4,-0.006234212202987477
2,"(4,)",0,1,a1,informative,"('a5',)",0,0,0.0022630394254432584
